Element,XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ,dyn_charge
Ba,2.6625,0.0,0.0,0.0,2.3915,0.0,0.0,0.0,2.5656,2.5398666666666667
Zn,2.2497,0.0,0.0,0.0,2.1737,0.0,0.0,0.0,2.327,2.2501333333333333
F,-1.1921,0.0,0.0,0.0,-1.1503,0.01367,0.0,0.061786,-1.2278,-1.1900666666666666
F,-1.5308,0.0,0.0,0.0,-0.97685,0.0,0.0,0.0,-1.1625,-1.2233833333333333
F,-0.99725,0.0,0.0,0.0,-1.2878,0.20868,0.0,0.23548,-1.2745,-1.1865166666666667
