#Distance(Å)	RDF_tot
5.000000000000000104e-03	0.000000000000000000e+00
1.499999999999999944e-02	0.000000000000000000e+00
2.500000000000000139e-02	0.000000000000000000e+00
3.499999999999999639e-02	0.000000000000000000e+00
4.499999999999999833e-02	0.000000000000000000e+00
5.500000000000000028e-02	0.000000000000000000e+00
6.500000000000000222e-02	0.000000000000000000e+00
7.500000000000001110e-02	0.000000000000000000e+00
8.500000000000000611e-02	0.000000000000000000e+00
9.500000000000000111e-02	0.000000000000000000e+00
1.050000000000000100e-01	0.000000000000000000e+00
1.150000000000000050e-01	0.000000000000000000e+00
1.250000000000000000e-01	0.000000000000000000e+00
1.350000000000000089e-01	0.000000000000000000e+00
1.450000000000000178e-01	0.000000000000000000e+00
1.549999999999999989e-01	0.000000000000000000e+00
1.650000000000000078e-01	0.000000000000000000e+00
1.750000000000000167e-01	0.000000000000000000e+00
1.849999999999999978e-01	0.000000000000000000e+00
1.950000000000000067e-01	0.000000000000000000e+00
2.050000000000000155e-01	0.000000000000000000e+00
2.149999999999999967e-01	0.000000000000000000e+00
2.250000000000000056e-01	0.000000000000000000e+00
2.350000000000000144e-01	0.000000000000000000e+00
2.449999999999999956e-01	0.000000000000000000e+00
2.550000000000000044e-01	0.000000000000000000e+00
2.650000000000000133e-01	0.000000000000000000e+00
2.750000000000000222e-01	0.000000000000000000e+00
2.850000000000000311e-01	0.000000000000000000e+00
2.949999999999999845e-01	0.000000000000000000e+00
3.049999999999999933e-01	0.000000000000000000e+00
3.150000000000000022e-01	0.000000000000000000e+00
3.250000000000000111e-01	0.000000000000000000e+00
3.350000000000000200e-01	0.000000000000000000e+00
3.450000000000000289e-01	0.000000000000000000e+00
3.550000000000000377e-01	0.000000000000000000e+00
3.649999999999999911e-01	0.000000000000000000e+00
3.750000000000000000e-01	0.000000000000000000e+00
3.850000000000000089e-01	0.000000000000000000e+00
3.950000000000000178e-01	0.000000000000000000e+00
4.050000000000000266e-01	0.000000000000000000e+00
4.150000000000000355e-01	0.000000000000000000e+00
4.249999999999999889e-01	0.000000000000000000e+00
4.349999999999999978e-01	0.000000000000000000e+00
4.450000000000000067e-01	0.000000000000000000e+00
4.550000000000000155e-01	0.000000000000000000e+00
4.650000000000000244e-01	0.000000000000000000e+00
4.750000000000000333e-01	0.000000000000000000e+00
4.849999999999999867e-01	0.000000000000000000e+00
4.949999999999999956e-01	0.000000000000000000e+00
5.050000000000000044e-01	0.000000000000000000e+00
5.150000000000000133e-01	0.000000000000000000e+00
5.250000000000000222e-01	0.000000000000000000e+00
5.350000000000000311e-01	0.000000000000000000e+00
5.450000000000000400e-01	0.000000000000000000e+00
5.550000000000000488e-01	0.000000000000000000e+00
5.650000000000000577e-01	0.000000000000000000e+00
5.750000000000000666e-01	0.000000000000000000e+00
5.849999999999999645e-01	0.000000000000000000e+00
5.949999999999999734e-01	0.000000000000000000e+00
6.049999999999999822e-01	0.000000000000000000e+00
6.149999999999999911e-01	0.000000000000000000e+00
6.250000000000000000e-01	0.000000000000000000e+00
6.350000000000000089e-01	0.000000000000000000e+00
6.450000000000000178e-01	0.000000000000000000e+00
6.550000000000000266e-01	0.000000000000000000e+00
6.650000000000000355e-01	0.000000000000000000e+00
6.750000000000000444e-01	0.000000000000000000e+00
6.850000000000000533e-01	0.000000000000000000e+00
6.950000000000000622e-01	0.000000000000000000e+00
7.050000000000000711e-01	0.000000000000000000e+00
7.149999999999999689e-01	0.000000000000000000e+00
7.249999999999999778e-01	0.000000000000000000e+00
7.349999999999999867e-01	0.000000000000000000e+00
7.449999999999999956e-01	0.000000000000000000e+00
7.550000000000000044e-01	0.000000000000000000e+00
7.650000000000000133e-01	0.000000000000000000e+00
7.750000000000000222e-01	0.000000000000000000e+00
7.850000000000000311e-01	0.000000000000000000e+00
7.950000000000000400e-01	0.000000000000000000e+00
8.050000000000000488e-01	0.000000000000000000e+00
8.150000000000000577e-01	0.000000000000000000e+00
8.250000000000000666e-01	0.000000000000000000e+00
8.350000000000000755e-01	0.000000000000000000e+00
8.449999999999999734e-01	0.000000000000000000e+00
8.549999999999999822e-01	0.000000000000000000e+00
8.649999999999999911e-01	0.000000000000000000e+00
8.750000000000000000e-01	0.000000000000000000e+00
8.850000000000000089e-01	0.000000000000000000e+00
8.950000000000000178e-01	0.000000000000000000e+00
9.050000000000000266e-01	0.000000000000000000e+00
9.150000000000000355e-01	0.000000000000000000e+00
9.250000000000000444e-01	0.000000000000000000e+00
9.350000000000000533e-01	0.000000000000000000e+00
9.450000000000000622e-01	0.000000000000000000e+00
9.550000000000000711e-01	0.000000000000000000e+00
9.649999999999999689e-01	0.000000000000000000e+00
9.749999999999999778e-01	0.000000000000000000e+00
9.849999999999999867e-01	0.000000000000000000e+00
9.949999999999999956e-01	0.000000000000000000e+00
1.004999999999999893e+00	0.000000000000000000e+00
1.014999999999999902e+00	0.000000000000000000e+00
1.024999999999999911e+00	0.000000000000000000e+00
1.034999999999999920e+00	0.000000000000000000e+00
1.044999999999999929e+00	0.000000000000000000e+00
1.054999999999999938e+00	0.000000000000000000e+00
1.064999999999999947e+00	0.000000000000000000e+00
1.074999999999999956e+00	0.000000000000000000e+00
1.084999999999999964e+00	0.000000000000000000e+00
1.094999999999999973e+00	0.000000000000000000e+00
1.104999999999999982e+00	0.000000000000000000e+00
1.114999999999999991e+00	0.000000000000000000e+00
1.125000000000000000e+00	0.000000000000000000e+00
1.135000000000000009e+00	0.000000000000000000e+00
1.145000000000000018e+00	0.000000000000000000e+00
1.155000000000000027e+00	0.000000000000000000e+00
1.164999999999999813e+00	0.000000000000000000e+00
1.174999999999999822e+00	0.000000000000000000e+00
1.184999999999999831e+00	0.000000000000000000e+00
1.194999999999999840e+00	0.000000000000000000e+00
1.204999999999999849e+00	0.000000000000000000e+00
1.214999999999999858e+00	0.000000000000000000e+00
1.224999999999999867e+00	0.000000000000000000e+00
1.234999999999999876e+00	0.000000000000000000e+00
1.244999999999999885e+00	0.000000000000000000e+00
1.254999999999999893e+00	0.000000000000000000e+00
1.264999999999999902e+00	0.000000000000000000e+00
1.274999999999999911e+00	0.000000000000000000e+00
1.284999999999999920e+00	0.000000000000000000e+00
1.294999999999999929e+00	0.000000000000000000e+00
1.304999999999999938e+00	0.000000000000000000e+00
1.314999999999999947e+00	0.000000000000000000e+00
1.324999999999999956e+00	0.000000000000000000e+00
1.334999999999999964e+00	0.000000000000000000e+00
1.344999999999999973e+00	0.000000000000000000e+00
1.354999999999999982e+00	0.000000000000000000e+00
1.364999999999999991e+00	0.000000000000000000e+00
1.375000000000000000e+00	0.000000000000000000e+00
1.385000000000000009e+00	0.000000000000000000e+00
1.395000000000000018e+00	0.000000000000000000e+00
1.405000000000000027e+00	0.000000000000000000e+00
1.414999999999999813e+00	0.000000000000000000e+00
1.424999999999999822e+00	0.000000000000000000e+00
1.434999999999999831e+00	0.000000000000000000e+00
1.444999999999999840e+00	0.000000000000000000e+00
1.454999999999999849e+00	0.000000000000000000e+00
1.464999999999999858e+00	0.000000000000000000e+00
1.474999999999999867e+00	0.000000000000000000e+00
1.484999999999999876e+00	0.000000000000000000e+00
1.494999999999999885e+00	0.000000000000000000e+00
1.504999999999999893e+00	0.000000000000000000e+00
1.514999999999999902e+00	0.000000000000000000e+00
1.524999999999999911e+00	0.000000000000000000e+00
1.534999999999999920e+00	0.000000000000000000e+00
1.544999999999999929e+00	0.000000000000000000e+00
1.554999999999999938e+00	0.000000000000000000e+00
1.564999999999999947e+00	0.000000000000000000e+00
1.574999999999999956e+00	0.000000000000000000e+00
1.584999999999999964e+00	0.000000000000000000e+00
1.594999999999999973e+00	0.000000000000000000e+00
1.604999999999999982e+00	0.000000000000000000e+00
1.614999999999999991e+00	0.000000000000000000e+00
1.625000000000000000e+00	0.000000000000000000e+00
1.635000000000000009e+00	0.000000000000000000e+00
1.645000000000000018e+00	0.000000000000000000e+00
1.655000000000000027e+00	0.000000000000000000e+00
1.665000000000000036e+00	0.000000000000000000e+00
1.674999999999999822e+00	1.817476585016119422e-04
1.684999999999999831e+00	4.869873620241341183e-04
1.694999999999999840e+00	8.136333538959336295e-04
1.704999999999999849e+00	1.335522248275693852e-03
1.714999999999999858e+00	2.153698888816853348e-03
1.724999999999999867e+00	3.585051650814004807e-03
1.734999999999999876e+00	5.603228732477360044e-03
1.744999999999999885e+00	8.606679271025756417e-03
1.754999999999999893e+00	1.299265290565522132e-02
1.764999999999999902e+00	1.927685840756586388e-02
1.774999999999999911e+00	2.811012603821923597e-02
1.784999999999999920e+00	4.028932839191231435e-02
1.794999999999999929e+00	5.692006571755237054e-02
1.804999999999999938e+00	7.886888518865617370e-02
1.814999999999999947e+00	1.077522558229594002e-01
1.824999999999999956e+00	1.444209113809383493e-01
1.834999999999999964e+00	1.903610598398150500e-01
1.844999999999999973e+00	2.467888833414646488e-01
1.854999999999999982e+00	3.147288010756682519e-01
1.864999999999999991e+00	3.948981840642605268e-01
1.875000000000000000e+00	4.875935775017914420e-01
1.885000000000000009e+00	5.925915569224811108e-01
1.895000000000000018e+00	7.090782046915926617e-01
1.905000000000000027e+00	8.356200198302112803e-01
1.915000000000000036e+00	9.701856222671403351e-01
1.924999999999999822e+00	1.110222035103474614e+00
1.934999999999999831e+00	1.252782232262751760e+00
1.944999999999999840e+00	1.394693049000800489e+00
1.954999999999999849e+00	1.532745772736604284e+00
1.964999999999999858e+00	1.663887113665293960e+00
1.974999999999999867e+00	1.785386917894199232e+00
1.984999999999999876e+00	1.894961543101827406e+00
1.994999999999999885e+00	1.990838175018252887e+00
2.004999999999999893e+00	2.071754657641183162e+00
2.015000000000000124e+00	2.136900104388722799e+00
2.024999999999999911e+00	2.185811704549662782e+00
2.035000000000000142e+00	2.218250761505481172e+00
2.044999999999999929e+00	2.234084505424819067e+00
2.054999999999999716e+00	2.233198772368251817e+00
2.064999999999999947e+00	2.215460361167120418e+00
2.074999999999999734e+00	2.180737879496278619e+00
2.084999999999999964e+00	2.128978062961231377e+00
2.094999999999999751e+00	2.060323188242708881e+00
2.104999999999999982e+00	1.975246520406358064e+00
2.114999999999999769e+00	1.874678412797224247e+00
2.125000000000000000e+00	1.760096507447507008e+00
2.134999999999999787e+00	1.633559221777521220e+00
2.145000000000000018e+00	1.497671153711638947e+00
2.154999999999999805e+00	1.355480316396158180e+00
2.165000000000000036e+00	1.210318087002492327e+00
2.174999999999999822e+00	1.065601466516019835e+00
2.185000000000000053e+00	9.246223048105390863e-01
2.194999999999999840e+00	7.903489449662188804e-01
2.205000000000000071e+00	6.652625164560762583e-01
2.214999999999999858e+00	5.512437965253916827e-01
2.225000000000000089e+00	4.495185436952965907e-01
2.234999999999999876e+00	3.606609919858116409e-01
2.245000000000000107e+00	2.846481087338192384e-01
2.254999999999999893e+00	2.209521966405594839e-01
2.265000000000000124e+00	1.687646464521176948e-01
2.274999999999999911e+00	1.267635825035988151e-01
